header,category,location,title,description,website_url,image_name,youtube_url
나의,주거,,김동연의 '북부 속으로 5' <직업군인 내 집 마련 프로젝트>,,https://m.blog.naver.com/PostView.naver?blogId=dyvision2030&logNo=222733206885&navType=by,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MTVfNTgg/MDAxNjUyNTkxODQ1ODgw.5E7gs1ZqDuI4xRwpuogKQ-E4ZbguF7-y6-9x-CVt0p0g.6b6G3o7O5a0hctHsSdl5sbK15PLKWc2O-vRwacTDcyMg.JPEG.dyvision2030/직업군인.jpg?type=w800,
우리의,환경,,탄소중립․에너지전환으로 만드는 ‘그린경기’! 일 잘하는 김동연이 실현하겠습니다,,https://m.blog.naver.com/dyvision2030/222732268424,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MTRfMjE4/MDAxNjUyNTAyODY5NjAy.zLcVzv5sgqDTkfMuRL-fwEiWmoW-J1i8dJcmBhfKCvog.tKqKT-dFGXmioIwsTg25_gS2dhKltQnydir6AS_5S9og.JPEG.dyvision2030/김동연_Green_경기.jpg?type=w800,
우리의,육아,,"빈부격차가 건강격차로 이어지지 않게, ‘긴급끼니돌봄 제도’를 도입하겠습니다",,https://m.blog.naver.com/dyvision2030/222730844973,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MTNfODcg/MDAxNjUyNDA0NTExOTc5.nrQr9h0gdcSnnriPzDd-7pccwjUg5i8FcSAILjFLAPwg.Zikj25NxR8ar0aYefb_hkZDp4iGGGJjXezDGE3uyxw8g.JPEG.dyvision2030/photo_2022-05-13_10-14-53.jpg?type=w800,
나의,일자리,,"스타트업 천국, 3만개 창업으로 60만 일자리 창출 ",,https://m.blog.naver.com/dyvision2030/222730163782,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MTJfMjE5/MDAxNjUyMzQ4MTcwNTU4.98jouietjf3OoIFYaTqfDpl9W6Av4FwF0omy1cuCL64g.HtQdM5YYfoM4onsTLYqmqTM-BIAxHhL4dC4q19nm3WAg.JPEG.dyvision2030/18.jpg?type=w800,
"나,",청년,,"엄마찬스, 아빠찬스가 아닌 경기 청년에겐 '경기찬스'",,https://m.blog.naver.com/dyvision2030/222730144847,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MTJfMTQ4/MDAxNjUyMzQ4MDAwMDgz.WqJ48jyfOpvkpkXuWB5EG2vco0USU6B_xEyrr9TCfpEg.8eNV3lNEYHYHkcIkFEuyw6J3e8OaywJz1YkJrevpr6gg.JPEG.dyvision2030/17.jpg?type=w800,
우리의,교육,,다문화아동 한국어 학습 온라인플랫폼,,https://m.blog.naver.com/dyvision2030/222730142742,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MTJfMSAg/MDAxNjUyMzQ3NzMwOTEy.pNQ-K_uB4dRFeW7kjevW7JxUVi2BVzH6ZVAgufqrISIg.BZ8wqbYNjfkSJE-8IAHPyaVqmBN-bvPfPB8VUmwrMScg.JPEG.dyvision2030/16.jpg?type=w800,
나의,육아,,아이돌보미와 가사도우미 서비스 신청 소득기준 상향 ,,https://m.blog.naver.com/dyvision2030/222730138484,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MTJfNDEg/MDAxNjUyMzQ3NDMzMDUw.PNAqgBPEHMS8CZySwwfIHPG0ELTee3FKteVd3dJZpcUg.dFXwF4JYKrKRptmWjXDSmd-OIhet37ZslafRkVWvxusg.JPEG.dyvision2030/15.jpg?type=w800,
우리의,문화,,"문화와 예술의 고장, 품격 있는 경기도! 일 잘하는 김동연이 실현하겠습니다",,https://m.blog.naver.com/dyvision2030/222729998892,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MTJfMTkx/MDAxNjUyMzQwMzg0NDA4.kgXSyejhUFPrxvjb50lDH7EtZHDrBw0RJdNILFHEkxMg.Knpi5Hxo59LCS3KHlMDZndvhoSuRckTiF0CiYW3U9fMg.JPEG.dyvision2030/문화예술공약.jpg?type=w800,
우리의,교통,,경기도 순환철도망 준 GTX급 완성!,,https://m.blog.naver.com/dyvision2030/222729612427,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MTJfMzkg/MDAxNjUyMzIwOTM1NTU5.6737GMQpOZ8xGOkAtGc-FgqLyWsWJW-KGLQQLXUR7GMg.wFPPqbLfeF5px1ikzKTqfSMMVEu6WqfbABDzARb0kiAg.JPEG.dyvision2030/9.jpg?type=w800,
"나의,",안전,,1인 가구 안전(방범) 설치비 지원,,https://m.blog.naver.com/dyvision2030/222729006523,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MTFfMTMx/MDAxNjUyMjY5NDY0MTIw.YzJKlPUe9GRb7YNOOZ42eWeSbVnuE3RbcOZClU0hEx0g.drMtxhJ69xQvJ1-dIIhl1hWPXY6ptOWvNxx8XUusUPEg.JPEG.dyvision2030/14.jpg?type=w800,
