header,category,location,title,description,website_url,image_name,youtube_url
"나,",소상공인,,김동연의 골목상권 시장상권전담지원기관 권역별/시군별 확대,,https://m.blog.naver.com/dyvision2030/222729004917,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MTFfMTEg/MDAxNjUyMjY5MzE3NDgx.De5Q--m48Zk38JBPmeffcDZoUGRnlBva15EGOxnH0AEg.niroX037Lpc1e7mzIuRpMOU3lVLSNF73tCz4eDzHmgog.JPEG.dyvision2030/13.jpg?type=w800,
"나,",소상공인,,소상공인 '신용대사면',,https://m.blog.naver.com/dyvision2030/222729002568,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MTFfNjcg/MDAxNjUyMjY5MTQyNTA5.rtwbxOQTBe5y8Vv004Avsq-RrfiGC2rm5ww4BJacrMYg.HoCgKurAxhkIXIX1mHI64jDIuPtgycAid0yZLbM4ymQg.JPEG.dyvision2030/12.jpg?type=w800,
우리의,환경,,미세먼지 차단숲 조성으로 상쾌한 경기도,,https://m.blog.naver.com/dyvision2030/222728999958,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MTFfMTIy/MDAxNjUyMjY4OTk5MTU1.p21GvksDohFlUGjMG7IoMuR-DnKFWjzuQajB6akLbEUg.97D85--juv6ggJtqWq0y86eIOAbGvNSQvtYFRqufApgg.JPEG.dyvision2030/11.jpg?type=w800,
"나,",청년,,"다양한 20․30대 청년의 삶에 더 많은 기회, 더 고른 기회를",,https://m.blog.naver.com/dyvision2030/222728549978,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MTFfMzAg/MDAxNjUyMjQ0Njg2OTU4.y0fUFjuGDXG8u0Zk5VIKQ0Cf_n9rFrNywXjvt2gRTL8g.4TjgzT1yb0cVZ-sW1C_JJdpIGVOmBnnWF5drmvqRvO4g.JPEG.dyvision2030/2030을_위한_김동연의_약속.jpg?type=w800,
"나,",여성,,"차별 없이 평등하고 여성이 안전한 경기도, 일 잘하는 김동연이 만들겠습니다!",,https://m.blog.naver.com/dyvision2030/222726529361,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MDlfMTgw/MDAxNjUyMDk5ODI2MjAw.PG3cgbKiqHDT4z70faR4EcAOLwYFdqdiqZe6ZA8Onqcg.XHuBLmIZhXf51xtIsV6KdNLih6swLIGzq09JQPKDhfYg.JPEG.dyvision2030/여성공약.jpg?type=w800,
우리의,어르신,,"어르신이 건강하고 행복한 경기도, 일 잘하는 김동연이 만듭니다!",,https://m.blog.naver.com/dyvision2030/222724034724,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MDdfMjAg/MDAxNjUxOTE3MzA5Mzc5.enAthD1r2Cmy4jn3TKhoxXZdVs4yLH75KAi3sWPU59Mg.I6QZV7flB_1XznPmCRP5bOOMLYgKMwgwNbzLHoBE0O8g.JPEG.dyvision2030/5대공약.jpg?type=w800,
"나,",여성,,"월경권을 넘어 여성 건강권으로, 달빛건강 서비스를 시작하겠습니다",,https://m.blog.naver.com/dyvision2030/222723810142,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MDdfMjc2/MDAxNjUxODk3NjUyMjk4.3XMPqQ09kYz7DvO9LgAWLgtVi-pbt8ddNyjK_Jd_oHMg.Yxj_fHjrifxspNVgYYkKFyuvTCL3JAQ4c9SXUKtls9kg.JPEG.dyvision2030/명작동화.jpg?type=w800,
"나,",여성,,데이트·스토킹·가정·성폭력 공동대응팀 전 시군 설치 ,,https://m.blog.naver.com/dyvision2030/222722967629,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MDZfMTk4/MDAxNjUxODI1MTA5ODA3.PD-iU3Q2oArm1FiOvnBSsMQOewugOTGgVTNGdToIJ10g.sAp4ear-pP5QqDrf6w8-fbvfbkdiwYGL86vinfT15eQg.JPEG.dyvision2030/10.jpg?type=w800,
"나,",여성,,공공부문 고용평등임금공시제 추진,,https://m.blog.naver.com/dyvision2030/222722963370,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MDZfMjg0/MDAxNjUxODI0OTYzODA5.ER8kW9-ABkESLNkGeUZ1tRoHFEjg-P_53YV1BW0R_KUg.ZPXW9HuXdTwQ8YKf8cm2H4yDkD3XOaUMQLcpNGWWUqQg.JPEG.dyvision2030/9.jpg?type=w800,
나의,육아,,맞벌이 가정 가사도우미 지원 확대 ,,https://m.blog.naver.com/dyvision2030/222722958907,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MDZfMjY3/MDAxNjUxODI0NjIxMzEz.-mxiMAmDrCPy6b3e4x8Fk0L_bLSX8X9DC-aidw8soLsg.oIF_Tg97vySUjQ5QUqAYmbAQKUFDF-DneFRLX0alZEAg.JPEG.dyvision2030/8.jpg?type=w800,
"나의,",안전,,아동학대·청소년 디지털성범죄·사이버 학폭 예방-상담-긴급대응 전담센터,,https://m.blog.naver.com/dyvision2030/222722953314,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MDZfMSAg/MDAxNjUxODI0MjkyMjk2.JU8Kspeui59A31q1plhH3y2Oe3cYNIwFT2ue1cSWR2Mg.b6TkqJ4HjHIjn1-wYOrgMKfNypB18jz2uxqLDKNTq8Mg.JPEG.dyvision2030/7.jpg?type=w800,
나의,육아,,영유아 보육·초등돌봄 틈새공백 해소,,https://m.blog.naver.com/dyvision2030/222722948723,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MDZfMjU2/MDAxNjUxODI0MTUyMjg2.4dyv4fv1IxakxsOtnCQ7q5W_H480dpqug7m5xptDXYcg.ZB5XHRyWP0xD7yurQxNxnP_cWMaAAdF9n2qEKE-3F4og.JPEG.dyvision2030/6.jpg?type=w800,
나의,일자리,,"‘5대 혁신 전략’으로 100만 일자리 창출, 일 잘하는 김동연이 실현하겠습니다!",,https://m.blog.naver.com/dyvision2030/222722715348,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MDZfOSAg/MDAxNjUxODExMTMwNjM1.fDHW4clLlwXiWq0MIqhRuHHBQgdeo8-1u4AyKTyCjA8g.aLdb9KMqbM_2ZHcHORyo_01tfTNw-nNTjEenJuMysHsg.JPEG.dyvision2030/1.jpg?type=w800,
우리의,교통,,"수원, 성남 군공항 이전 통합 <국제반도체공항 건설>",,https://m.blog.naver.com/dyvision2030/222721984001,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MDVfNzcg/MDAxNjUxNzQ4MzE5OTgz.EXI9W7Na25Nv1nkDk7Q8E_SJoCBgwzhLGXHqKsByh-cg.jft_gWPbZTxvV1JlLGhVQfHDtZy_afa2Dk-l4zvkiEsg.JPEG.dyvision2030/5.jpg?type=w800,
우리의,교육,,경기도판 미네르바 스쿨 도입,,https://m.blog.naver.com/dyvision2030/222721980484,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MDVfMSAg/MDAxNjUxNzQ3ODk3NjUx.syyiHtQ2FqbsMW2kzZ83ibyngsrELuQLdd6ofYSQ66gg.m2VVyS8XGVROwhaUfj0crU2tWx3hMV85X90vekTw5m4g.JPEG.dyvision2030/4.jpg?type=w800,
나의,일자리,,중소기업 노동자 10만명 연간 최대 1000만원 지원 ,,https://m.blog.naver.com/dyvision2030/222721977391,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MDVfMjc1/MDAxNjUxNzQ3NDkwNjM5.YE-f4QMYQZ6RCy6EoeLz8YAfmH7O8--WRAfVyQjPfLgg.I6AzINYpYw6PR98QgJZiT3iA1RZ_6-775TEPw3h_SIYg.JPEG.dyvision2030/3.jpg?type=w800,
나의,일자리,,글로벌 강소기업 200개 육성 ,,https://m.blog.naver.com/dyvision2030/222721973210,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MDVfMjc2/MDAxNjUxNzQ3MTQ0MDgz.DM1fKMJWxqfc4O85-3l8tg3syiCjbeGRmQZi_Bj2OiYg.UbtqGV0AkhDA-lnObHMPN5gDIftAOvEecBgzSUVVFGEg.JPEG.dyvision2030/2.jpg?type=w800,
우리의,교통,,버스-지하철-택시 간 정액 환승할인제 도입,,https://m.blog.naver.com/dyvision2030/222721969660,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MDVfMjM0/MDAxNjUxNzQ2NjgzMzA1.YQ-gRvoZjaCOQKgpTWzMaZ5XDP1QCeGDmwn8tAWtxwYg.qkeIdGdwVBw-GIqUwVXtsPWJcPEfSD3PE7zFsSEBhkEg.JPEG.dyvision2030/1.jpg?type=w800,
"나,",청년,,입대부터 전역까지 빈틈없는 ‘군복무 경기청년 상해보험 플러스’를 실시하겠습니다,,https://m.blog.naver.com/dyvision2030/222721758987,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MDVfODUg/MDAxNjUxNzI2MjM2Mjc3.SpeeMOa8USJj5OdQjb36FAS6oHL-kn5Pb6UUghoR4Log.czMlsro2PrienvQWMyxkjXB9Nb3UitN_KdII2NB33gcg.JPEG.dyvision2030/군복무.jpg?type=w800,
우리의,경제,,민생경제 회복 3개년 프로젝트 1,,https://m.blog.naver.com/dyvision2030/222721612292,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MDVfNSAg/MDAxNjUxNzEzNDMyMzcz.YDkay2ZxdvWRiSDKFZ_LLfmTJlakoNW2oQf4FNi51rAg.weBGv2zZrvcECMjr3lUmWGf4GXbql7U25px8EuvJjR8g.JPEG.dyvision2030/2.jpg?type=w800,
우리의,경제,,민생경제 회복 3개년 프로젝트 2,,https://m.blog.naver.com/dyvision2030/222721612292,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MDVfMjMz/MDAxNjUxNzEzNDMyNDIz.ffKkU0B2q_xjsjs3fLeIMVQsw3si5sI7KGWn209hkcUg.0uXCWvO6ka0NOA2UqW1xsV5F8BA3aAL6sB5T6ST5om8g.JPEG.dyvision2030/3.jpg?type=w800,
우리의,경제,,민생경제 회복 3개년 프로젝트 3,,https://m.blog.naver.com/dyvision2030/222721612292,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MDVfMjg4/MDAxNjUxNzEzNDMyNDMw.b_yj-1JEuMAttiooB0Kpdiesi0l56XgxfF8skzuZYMwg.7jVJCsxqQRKKBOa7RbgzB-Tf0ovYqrUR8hL6mugiRfkg.JPEG.dyvision2030/4.jpg?type=w800,
나의,육아,,어린이가 존중받고 행복한 경기도 일 잘하는 김동연이 만들겠습니다!,,https://m.blog.naver.com/dyvision2030/222721020662,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MDRfMjE1/MDAxNjUxNjU2MzczNDA4.MZ97MzUbtbzxK78_he3rbgwF-7TfcgruUr8zOO02QM4g.fYeonfnkFrEucuw0uMYww-MhQrE-ij9ExZ97oYXbs1Ag.JPEG.dyvision2030/보육공약.jpg?type=w800,
우리의,경제,,"민생경제회복, 경기도가 먼저 시작합니다!",,https://m.blog.naver.com/dyvision2030/222719706243,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MDNfMjkx/MDAxNjUxNTYzNDA5NDEx.Ok0UAQiSmmbIX0zt2q1e7AFt40Jmc6tkv_P7a8wbeK0g.axmhkgIkSNTL2KVZWpS5VhCEHJKgxJU2_qKd9jV8a-sg.JPEG.dyvision2030/민생경제회복.jpg?type=w800,
우리의,문화,,"경기도가 선도해온 기본소득, 문화예술인 여러분께 확대하겠습니다",,https://m.blog.naver.com/dyvision2030/222719690216,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MDNfMjk1/MDAxNjUxNTYyNTg0Mzk1.21dYHptF8CKnKsw4CLQw3JpXQZ3ZQ077FiI0WKyMaeYg.HGB2Ry5_emr_9PveUksNer-shaU9TDHwPqsPDDh38uwg.JPEG.dyvision2030/기본소득.jpg?type=w800,
나의,주거,,"‘1·3·5 부동산 정책’으로 집 걱정 없는 경기도, 일 잘하는 김동연이 실현합니다!",,https://m.blog.naver.com/dyvision2030/222719680955,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MDNfMzgg/MDAxNjUxNTYyMDU5Njgy.sRysx4IREvnfXf0OgTBhF-bpGp3ZeGuqae3MnAptSuog.lsN9YG3yOGRX9ojyIasH_i6BghIkBfj1i3rVh9oDsE0g.JPEG.dyvision2030/부동산.jpg?type=w800,
우리의,교통,,"수원 군공항•성남 서울공항 동시 이전, 경기국제공항 추진",,https://m.blog.naver.com/dyvision2030/222717295020,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MDFfMTM4/MDAxNjUxMzgxMDU1MTUx.XkuCxgJAqhvdqdI6C5jgF3N6kwIhYu6fKyh0IzULFN4g.K4Ge0Jz_oUEvfOVgsgevuif57e5VbZ_4ahBmcB0WNb4g.PNG.dyvision2030/0501-공항.png?type=w800,
나의,일자리,,일하는 모든 사람이 행복한 경기도를 만들겠습니다.,,https://m.blog.naver.com/dyvision2030/222717160407,https://mblogthumb-phinf.pstatic.net/MjAyMjA1MDFfMTU3/MDAxNjUxMzY1MTQyMTY0.rPUmOgL7bExWksYHWJZEKuPRfxHWNorxNbZ6Ieh_zckg.nVkM9E7CYM5f2MGM6EZxHVktzmC87YKMZe3a8eNYXvYg.JPEG.dyvision2030/photo_2022-05-01_09-24-54.jpg?type=w800,
우리의,교통,,막차 걱정 그만! '경기심야버스'로 도민의 귀가 부담을 덜겠습니다,,https://m.blog.naver.com/dyvision2030/222716383340,https://mblogthumb-phinf.pstatic.net/MjAyMjA0MzBfMjc1/MDAxNjUxMjkyNzkyNzc2.Dz8weIt85rOCo_yxjpCoOFcO5XzZS0QuATA5ptNoxuEg.vFKE1om7w85oUShZT6zV7Wv67-06gCLJjj0b63ZKn3wg.JPEG.dyvision2030/photo_2022-04-30_13-22-22.jpg?type=w800,
우리의,환경,,함께 힘을 모으겠습니다!,,https://m.blog.naver.com/dyvision2030/222716320949,https://mblogthumb-phinf.pstatic.net/MjAyMjA0MzBfMTE5/MDAxNjUxMjg3Mzk2NTYy.OmxQZBD1Sf9LkQOEINw1J6n5_BPMSOsjb9I1mP1StJ0g.lGCk1EcY0PASgpVPVA9Kmh7JEvY1RcwjBRGoGvsEY7sg.JPEG.dyvision2030/photo_2022-04-30_11-53-18.jpg?type=w800,
나의,일자리,,플랫폼·이동노동자 쉼터를 확대하겠습니다,,https://m.blog.naver.com/dyvision2030/222715108814,https://mblogthumb-phinf.pstatic.net/MjAyMjA0MjlfMjk0/MDAxNjUxMTkxNjg5NDQ4.pUaH2urDpNhiAMcviq9aXTuHCZhuL5scYMmM48EaFlUg.V5h8JWtRauw_Zx2NKdUoj7WFopC14hwCLCYzawHxyw8g.JPEG.dyvision2030/photo_2022-04-29_09-19-10.jpg?type=w800,
우리의,교육,,딩동♪ 자녀의 교재·교구를 댁으로 배달해드립니다.,,https://m.blog.naver.com/dyvision2030/222712101888,https://mblogthumb-phinf.pstatic.net/MjAyMjA0MjZfMjI1/MDAxNjUwOTUzNDAxNTk0.luIhG8Khv0aJqmv5bCuZA9DxnaqNaD4OU7g7e3ZUa78g.gHxdkdPKQN0xAdcUWpFVL02_pBZtFQz6xKQoefEgYaEg.JPEG.dyvision2030/photo_2022-04-26_15-06-04.jpg?type=w800,
나의,육아,,공공산후조리원을 확충하겠습니다. ,,https://m.blog.naver.com/dyvision2030/222709711350,https://mblogthumb-phinf.pstatic.net/MjAyMjA0MjRfNzUg/MDAxNjUwNzYyODI3MDAx.ALbykYoGyzmPMiuEE1joKpvd0AAqgdftUvqfsnn85pIg.UTUNn__calspUuXqX6uDf5MCWZylxyS11Umw8_0x2xwg.JPEG.dyvision2030/278861674_418379590111678_5925186779781502261_n.jpg?type=w800,
우리의,교통,,"장애인 이동권, 경기도가 먼저 앞서갑니다.",,https://m.blog.naver.com/dyvision2030/222706017027,https://mblogthumb-phinf.pstatic.net/MjAyMjA0MjBfNTUg/MDAxNjUwNDE4MzA4MzYw.s5Ebx7nkgYvRcoAYgVNhtvS5rJC30H0OoRwBm1nclBog.NmgSq0ZX_GzUhX3wEXhAtLkoTqaBm2pQA51DuflHS0Yg.PNG.dyvision2030/0419-말모이.png?type=w800,
